State,TotalPop
Alabama,4850771
Alaska,738565
Arizona,6809946
Arkansas,2977944
California,38982847
Colorado,5436519
Connecticut,3594478
Delaware,943732
District of Columbia,672391
Florida,20278447
Georgia,10201635
Hawaii,1421658
Idaho,1657375
Illinois,12854526
Indiana,6614418
Iowa,3118102
Kansas,2903820
Kentucky,4424376
Louisiana,4663461
Maine,1330158
Maryland,5996079
Massachusetts,6789319
Michigan,9925568
Minnesota,5490726
Mississippi,2986220
Missouri,6075300
Montana,1029862
Nebraska,1893921
Nevada,2887725
New Hampshire,1331848
New Jersey,8960161
New Mexico,2084828
New York,19798228
North Carolina,10052564
North Dakota,745475
Ohio,11609756
Oklahoma,3896251
Oregon,4025127
Pennsylvania,12790505
Puerto Rico,3468963
Rhode Island,1056138
South Carolina,4893444
South Dakota,855444
Tennessee,6597381
Texas,27419612
Utah,2993941
Vermont,624636
Virginia,8365952
Washington,7169967
West Virginia,1836843
Wisconsin,5763217
Wyoming,583200
